timestamp,open,high,low,close,volume
2018-02-15,1466.8900,1468.9400,1436.8400,1461.7600,5598111
2018-02-14,1406.2500,1452.0600,1403.3600,1451.0500,5881238
2018-02-13,1385.9300,1419.7200,1383.5300,1414.5100,5858860
2018-02-12,1364.6700,1393.8100,1344.0100,1386.2300,6682214
2018-02-09,1373.4900,1383.5000,1265.9300,1339.6000,13787886
2018-02-08,1429.6700,1433.7500,1349.9400,1350.5000,8108560
2018-02-07,1449.0000,1460.9900,1415.1500,1416.7800,7066828
2018-02-06,1361.4600,1443.9900,1351.7900,1442.8400,10773963
2018-02-05,1402.6200,1458.9800,1320.7200,1390.0000,10756332
2018-02-02,1477.3900,1498.0000,1414.0000,1429.9500,10915962
2018-02-01,1445.0000,1459.8800,1385.1400,1390.0000,7812953
2018-01-31,1451.3000,1472.5800,1450.0400,1450.8900,6220396
2018-01-30,1403.1700,1439.2500,1392.0000,1437.8200,5736512
2018-01-29,1409.1800,1431.3900,1400.4400,1417.6800,5628992
2018-01-26,1392.0100,1402.5300,1380.9100,1402.0500,4584082
2018-01-25,1368.0000,1378.3400,1357.6200,1377.9500,4621862
2018-01-24,1374.8200,1388.1600,1338.0000,1357.5100,6730084
2018-01-23,1338.0900,1364.9000,1337.3400,1362.5400,5056764
2018-01-22,1297.1700,1327.4500,1296.6600,1327.3100,3970151
